start_time,item_nr,elem_nr,item_right,item_right_percentage,elem_right,elem_right_percentage,item_right_without_unknown,item_right_without_unknown_percentage,elem_right_without_unknown,elem_right_without_knonown_percentage,sp00,sp01,sp02,sp03,sp10,sp11,sp12,sp13,sp20,sp21,sp22,sp23,sp30,sp31,sp32,sp33
0,855,5130,543,0.6350877192982456,4132,0.805458089668616,645,0.7543859649122807,4680,0.9122807017543859,3590,239,6,2,174,507,6,0,0,12,25,0,285,13,61,210
10,855,5130,560,0.6549707602339181,4125,0.804093567251462,664,0.776608187134503,4719,0.9198830409356725,3591,182,5,0,179,499,25,0,0,6,27,3,57,1,108,447
100,855,5130,567,0.6631578947368421,4178,0.8144249512670565,618,0.7228070175438597,4595,0.8957115009746589,3652,187,47,78,181,503,23,3,3,11,15,0,52,0,56,319
1000,855,5130,454,0.5309941520467836,4007,0.7810916179337232,501,0.5859649122807018,4289,0.8360623781676413,3187,504,15,0,167,740,59,1,23,61,74,5,47,0,53,194
1005,855,5130,399,0.4666666666666667,3877,0.7557504873294347,446,0.5216374269005848,4159,0.8107212475633528,3078,606,21,0,159,718,89,1,28,62,73,2,47,0,50,196
1010,855,5130,363,0.4245614035087719,3748,0.7306042884990254,410,0.47953216374269003,4030,0.7855750487329435,2895,794,7,0,145,768,55,0,16,79,77,1,47,1,49,196
1015,855,5130,336,0.3929824561403509,3463,0.6750487329434698,383,0.447953216374269,3745,0.7300194931773879,2619,1072,8,0,169,761,31,1,18,80,75,3,47,1,49,196
1020,855,5130,300,0.3508771929824561,3467,0.6758284600389863,347,0.4058479532163743,3749,0.7307992202729044,2592,1087,29,0,135,778,40,0,8,73,90,7,48,0,48,195
1025,855,5130,321,0.37543859649122807,3425,0.6676413255360624,367,0.42923976608187137,3706,0.7224171539961014,2551,1144,26,4,123,770,57,1,9,57,98,1,46,0,49,194
1030,855,5130,333,0.3894736842105263,3436,0.6697855750487329,379,0.4432748538011696,3716,0.7243664717348928,2571,1124,45,3,124,755,55,2,10,41,104,10,46,0,47,193
1035,855,5130,422,0.4935672514619883,3850,0.7504873294346979,468,0.5473684210526316,4129,0.8048732943469785,2982,739,31,5,116,752,57,8,7,32,110,5,46,0,47,193
1040,855,5130,352,0.41169590643274856,3683,0.7179337231968811,442,0.5169590643274854,4009,0.7814814814814814,2857,821,25,10,139,731,70,2,5,45,89,2,90,3,49,192
1045,855,5130,403,0.47134502923976607,3711,0.723391812865497,492,0.5754385964912281,4084,0.7961013645224172,2891,728,16,7,156,735,76,3,11,46,79,1,134,6,50,191
105,855,5130,568,0.664327485380117,4186,0.8159844054580897,619,0.7239766081871345,4557,0.8883040935672515,3640,196,53,119,166,520,25,5,3,5,18,0,52,0,52,276
1050,855,5130,450,0.5263157894736842,4012,0.7820662768031189,553,0.6467836257309941,4443,0.8660818713450292,3162,394,18,1,161,761,53,4,14,39,82,2,187,14,47,191
1055,855,5130,466,0.5450292397660819,3916,0.7633528265107212,568,0.664327485380117,4407,0.8590643274853801,3087,360,31,13,193,750,50,3,26,42,72,2,241,20,49,191
110,855,5130,578,0.6760233918128655,4171,0.8130604288499025,629,0.735672514619883,4495,0.8762183235867447,3616,205,50,164,179,533,21,7,5,2,16,0,51,1,53,227
1100,855,5130,458,0.5356725146198831,3844,0.749317738791423,561,0.656140350877193,4394,0.8565302144249513,2997,380,19,9,187,774,50,3,34,45,66,6,301,21,47,191
1105,855,5130,459,0.5368421052631579,3782,0.7372319688109161,563,0.6584795321637427,4391,0.8559454191033138,2933,348,29,6,164,770,94,4,33,54,72,5,358,24,46,190
1110,855,5130,458,0.5356725146198831,3722,0.7255360623781676,562,0.6573099415204678,4336,0.845224171539961,2887,376,16,13,202,766,61,6,33,78,63,7,361,24,48,189
1115,855,5130,456,0.5333333333333333,3771,0.7350877192982456,560,0.6549707602339181,4390,0.8557504873294347,2860,397,12,7,149,827,54,2,29,84,78,4,359,33,47,188
1120,855,5130,432,0.5052631578947369,3653,0.7120857699805069,529,0.6187134502923977,4264,0.8311890838206628,2784,468,17,16,165,784,65,13,34,70,79,16,316,39,45,219
1125,855,5130,446,0.5216374269005848,3668,0.715009746588694,543,0.6350877192982456,4272,0.8327485380116959,2786,446,26,20,200,763,69,1,19,75,113,2,310,34,45,221
1130,855,5130,447,0.5228070175438596,3751,0.7311890838206627,544,0.6362573099415205,4355,0.8489278752436648,2823,404,37,15,172,788,62,0,11,68,134,6,310,34,45,221
1135,855,5130,459,0.5368421052631579,3725,0.7261208576998051,556,0.6502923976608187,4323,0.8426900584795322,2823,399,21,32,185,761,75,1,24,66,135,4,308,36,51,209
1140,855,5130,462,0.5403508771929825,3788,0.7384015594541911,559,0.6538011695906433,4384,0.8545808966861599,2878,364,21,8,200,771,51,3,18,77,133,2,307,43,50,204
1145,855,5130,454,0.5309941520467836,3804,0.7415204678362574,557,0.6514619883040935,4400,0.8576998050682261,2883,368,17,14,165,781,55,0,21,83,133,4,317,28,53,208
115,855,5130,578,0.6760233918128655,4286,0.8354775828460039,629,0.735672514619883,4597,0.8961013645224172,3704,270,21,43,157,562,27,6,7,2,13,0,51,0,52,215
1150,855,5130,458,0.5356725146198831,3778,0.7364522417153996,559,0.6538011695906433,4382,0.8541910331384016,2846,376,26,9,169,770,56,3,13,91,155,1,319,44,49,203
1155,855,5130,484,0.5660818713450292,3858,0.752046783625731,587,0.6865497076023391,4460,0.8693957115009746,2934,314,12,7,164,762,41,3,36,83,154,6,320,30,54,210
120,855,5130,606,0.7087719298245614,4370,0.8518518518518519,657,0.7684210526315789,4678,0.9118908382066276,3802,218,6,9,192,548,15,3,7,2,14,0,51,0,51,212
1200,855,5130,483,0.5649122807017544,3801,0.7409356725146199,580,0.6783625730994152,4403,0.8582846003898635,2915,296,22,28,157,736,65,2,27,117,144,4,318,32,61,206
1205,855,5130,480,0.5614035087719298,3819,0.7444444444444445,577,0.6748538011695906,4427,0.8629629629629629,2938,299,17,6,151,730,58,1,42,114,145,5,317,44,55,208
1210,855,5130,486,0.5684210526315789,3827,0.7460038986354776,587,0.6865497076023391,4443,0.8660818713450292,2946,266,32,1,141,719,69,1,29,124,150,21,327,45,51,208
1215,855,5130,501,0.5859649122807018,3871,0.7545808966861598,604,0.7064327485380117,4493,0.8758284600389864,2997,205,19,4,184,688,65,0,28,122,174,6,329,47,52,210
1220,855,5130,509,0.5953216374269006,3869,0.7541910331384015,606,0.7087719298245614,4485,0.8742690058479532,2966,227,23,13,173,733,26,1,49,117,158,10,318,37,53,226
1225,855,5130,519,0.6070175438596491,3891,0.7584795321637426,621,0.7263157894736842,4509,0.8789473684210526,2994,180,24,0,183,688,86,1,63,63,197,11,334,47,51,208
1230,855,5130,511,0.5976608187134503,3833,0.7471734892787525,610,0.7134502923976608,4451,0.8676413255360623,2932,206,32,6,195,699,77,1,57,88,190,7,322,34,53,231
1235,855,5130,501,0.5859649122807018,3824,0.7454191033138402,600,0.7017543859649122,4436,0.8647173489278752,2906,203,24,10,204,725,63,3,48,119,183,7,316,38,64,217
1240,855,5130,502,0.5871345029239766,3826,0.7458089668615985,601,0.7029239766081872,4438,0.8651072124756335,2910,181,10,15,217,734,53,7,53,140,170,5,324,22,61,228
1245,855,5130,518,0.6058479532163743,3878,0.7559454191033138,617,0.7216374269005847,4484,0.8740740740740741,2920,138,16,13,227,752,55,0,57,122,194,9,323,21,55,228
125,855,5130,598,0.6994152046783626,4312,0.8405458089668616,649,0.7590643274853801,4620,0.9005847953216374,3724,312,3,0,177,568,9,0,6,3,14,0,53,0,51,210
1250,855,5130,517,0.6046783625730994,3849,0.7502923976608187,616,0.7204678362573099,4461,0.8695906432748538,2884,142,23,3,223,773,50,0,95,114,179,11,316,51,55,211
1255,855,5130,501,0.5859649122807018,3819,0.7444444444444445,606,0.7087719298245614,4437,0.8649122807017544,2869,145,22,5,236,746,58,2,77,123,191,16,345,22,56,217
130,855,5130,598,0.6994152046783626,4290,0.8362573099415205,649,0.7590643274853801,4597,0.8961013645224172,3733,255,37,1,220,537,12,2,3,3,14,0,51,0,51,211
1300,855,5130,513,0.6,3875,0.7553606237816765,612,0.7157894736842105,4485,0.8742690058479532,2875,138,14,13,195,769,77,4,63,105,219,25,318,24,63,228
1305,855,5130,506,0.591812865497076,3823,0.745224171539961,603,0.7052631578947368,4431,0.8637426900584795,2848,180,10,5,228,734,78,2,49,115,228,22,322,36,58,215
1310,855,5130,499,0.583625730994152,3852,0.7508771929824561,596,0.6970760233918128,4460,0.8693957115009746,2866,158,16,14,199,749,78,2,54,123,227,12,325,23,60,224
1315,855,5130,496,0.5801169590643275,3837,0.747953216374269,597,0.6982456140350877,4451,0.8676413255360623,2860,184,14,2,175,755,87,1,51,146,210,5,336,30,60,214
1320,855,5130,491,0.5742690058479533,3830,0.746588693957115,588,0.6877192982456141,4438,0.8651072124756335,2871,170,24,10,193,710,114,1,50,113,236,4,319,27,63,225
1325,855,5130,488,0.5707602339181287,3745,0.7300194931773879,583,0.6818713450292397,4342,0.8463937621832359,2824,216,16,22,215,688,124,2,74,95,215,19,268,53,113,186
1330,855,5130,482,0.5637426900584795,3846,0.7497076023391813,573,0.6701754385964912,4392,0.856140350877193,2875,206,16,4,202,706,138,1,50,108,245,10,224,69,98,178
1335,855,5130,475,0.5555555555555556,3900,0.7602339181286549,572,0.6690058479532164,4395,0.8567251461988304,2931,197,6,9,239,705,102,2,87,77,245,11,197,48,99,175
1340,855,5130,463,0.5415204678362573,3916,0.7633528265107212,551,0.6444444444444445,4352,0.8483430799220273,2940,206,10,29,255,702,85,1,72,96,260,8,141,47,100,178
1345,855,5130,452,0.5286549707602339,3851,0.750682261208577,539,0.6304093567251462,4228,0.8241715399610137,2888,273,26,38,232,704,95,4,73,122,244,19,99,42,103,168
135,855,5130,594,0.6947368421052632,4306,0.8393762183235868,645,0.7543859649122807,4612,0.8990253411306043,3724,254,40,2,202,562,12,2,0,6,14,0,51,0,51,210
1350,855,5130,451,0.5274853801169591,3927,0.7654970760233918,535,0.6257309941520468,4251,0.8286549707602339,2960,214,34,20,271,684,83,5,92,117,272,11,63,40,105,159
1355,855,5130,506,0.591812865497076,3964,0.7727095516569201,552,0.6456140350877193,4240,0.8265107212475633,2953,257,32,0,266,697,76,0,73,138,295,16,15,35,110,167
140,855,5130,627,0.7333333333333333,4394,0.8565302144249513,677,0.791812865497076,4700,0.9161793372319688,3785,220,15,0,175,590,10,0,2,8,13,0,51,0,51,210
1400,855,5130,478,0.5590643274853802,3927,0.7654970760233918,524,0.6128654970760234,4203,0.8192982456140351,2871,323,34,3,260,687,67,3,64,121,342,16,6,52,106,175
1405,855,5130,469,0.5485380116959064,3908,0.7617933723196881,515,0.6023391812865497,4184,0.8155945419103314,2838,314,46,1,232,688,93,4,58,135,355,18,8,48,117,175
1410,855,5130,477,0.5578947368421052,3899,0.7600389863547758,523,0.6116959064327485,4175,0.8138401559454191,2824,303,43,0,240,681,117,2,44,133,350,37,7,40,117,192
1415,855,5130,480,0.5614035087719298,3901,0.7604288499025341,526,0.6152046783625731,4177,0.8142300194931774,2815,294,29,0,314,646,113,0,49,106,382,21,9,37,109,206
1420,855,5130,460,0.5380116959064327,3935,0.767056530214425,506,0.591812865497076,4211,0.8208576998050682,2788,324,14,1,260,694,122,2,58,85,403,15,12,35,119,198
1425,855,5130,454,0.5309941520467836,3814,0.7434697855750487,500,0.5847953216374269,4090,0.797270955165692,2684,394,29,3,274,699,114,3,64,98,384,18,9,47,115,195
1430,855,5130,444,0.519298245614035,3706,0.7224171539961014,490,0.5730994152046783,3982,0.7762183235867446,2627,393,54,1,300,650,169,7,60,80,388,44,8,44,116,189
1435,855,5130,437,0.5111111111111111,3758,0.7325536062378167,483,0.5649122807017544,4034,0.78635477582846,2608,373,62,0,296,685,156,15,46,76,424,37,2,38,123,189
1440,855,5130,438,0.512280701754386,3754,0.7317738791423002,484,0.5660818713450292,4030,0.7855750487329435,2618,377,32,1,318,690,126,5,48,125,409,39,3,35,119,185
1445,855,5130,458,0.5356725146198831,3782,0.7372319688109161,504,0.5894736842105263,4058,0.7910331384015594,2600,359,42,0,295,715,113,0,74,131,429,32,2,35,117,186
