start_time,item_nr,elem_nr,item_right,item_right_percentage,elem_right,elem_right_percentage,item_right_without_unknown,item_right_without_unknown_percentage,elem_right_without_unknown,elem_right_without_knonown_percentage,sp00,sp01,sp02,sp03,sp10,sp11,sp12,sp13,sp20,sp21,sp22,sp23,sp30,sp31,sp32,sp33,spun,s0,s1,s2,s3,p0,p1,p2,p3,unknown_percentage
0,855,5130,618,0.722807018,4299,0.838011696,718,0.839766082,4847,0.944834308,3757,79,0,1,179,506,2,0,0,9,28,0,0,2,11,8,548,0.979150378,0.736535662,0.756756757,0.380952381,0.954522358,0.848993289,0.682926829,0.888888889,0.106822612
5,855,5130,623,0.728654971,4252,0.828849903,722,0.844444444,4841,0.943664717,3707,69,0,13,176,508,6,5,1,5,29,0,2,4,8,8,589,0.978358406,0.730935252,0.828571429,0.363636364,0.95393721,0.866894198,0.674418605,0.307692308,0.114814815
10,855,5130,631,0.738011696,4291,0.836452242,735,0.859649123,4885,0.952241715,3712,66,0,0,160,536,7,0,0,2,31,3,0,0,7,12,594,0.982530439,0.762446657,0.861111111,0.631578947,0.958677686,0.887417219,0.688888889,0.8,0.115789474
15,855,5130,633,0.740350877,4285,0.835282651,737,0.861988304,4880,0.951267057,3701,64,0,0,163,546,4,0,0,6,27,8,0,0,5,11,595,0.983001328,0.765778401,0.658536585,0.6875,0.957815735,0.886363636,0.75,0.578947368,0.115984405
20,855,5130,641,0.749707602,4307,0.83957115,745,0.871345029,4902,0.955555556,3697,81,0,0,127,565,9,0,0,3,38,0,0,0,8,7,595,0.978560085,0.805991441,0.926829268,0.466666667,0.966788703,0.870570108,0.690909091,1,0.115984405
25,855,5130,629,0.735672515,4304,0.838986355,732,0.856140351,4898,0.954775828,3710,78,0,6,128,556,4,0,0,8,31,2,0,0,6,7,594,0.977859779,0.808139535,0.756097561,0.538461538,0.966649297,0.866043614,0.756097561,0.466666667,0.115789474
30,855,5130,629,0.735672515,4290,0.83625731,732,0.856140351,4884,0.952046784,3714,77,1,0,148,538,6,0,0,9,30,0,0,0,5,8,594,0.97943038,0.777456647,0.769230769,0.615384615,0.961677887,0.862179487,0.714285714,1,0.115789474
35,855,5130,626,0.732163743,4273,0.83294347,729,0.852631579,4867,0.948732943,3702,80,1,0,162,534,7,0,1,8,29,0,0,0,4,8,594,0.978588422,0.759601707,0.763157895,0.666666667,0.957826649,0.8585209,0.707317073,1,0.115789474
40,855,5130,625,0.730994152,4225,0.823586745,723,0.845614035,4814,0.938401559,3652,120,2,29,139,537,13,0,0,8,29,0,0,0,5,7,589,0.960294504,0.779390421,0.783783784,0.583333333,0.963334213,0.807518797,0.591836735,0.194444444,0.114814815
45,855,5130,628,0.734502924,4260,0.830409357,692,0.809356725,4814,0.938401559,3687,111,3,39,134,543,12,1,0,11,23,0,0,0,5,7,554,0.96015625,0.786956522,0.676470588,0.583333333,0.964930646,0.816541353,0.534883721,0.14893617,0.107992203
